start,nz,uniq,entropy,zero_pct,words_zero,words_lt512
0000,960,18,3.484092862942912,6.25,0,324
0400,1024,13,3.3425599251571954,0.0,0,321
0800,1024,25,3.9407037736245023,0.0,0,243
0C00,1024,18,3.5671288497339027,0.0,0,269
1000,1024,15,3.5835540531780734,0.0,0,281
1400,1024,30,4.180639473584846,0.0,0,275
1800,1024,17,3.7196556113487618,0.0,0,309
1C00,1024,71,5.108542613203679,0.0,0,262
2000,1024,65,5.106802736956767,0.0,0,294
2400,1024,62,4.367612687928635,0.0,0,368
2800,1024,39,4.644573576386261,0.0,0,275
2C00,1024,59,4.61687301764428,0.0,0,312
3000,1024,70,4.8395647621241284,0.0,0,188
3400,1024,56,4.027511374259061,0.0,0,301
3800,1024,38,4.181269876750919,0.0,0,190
3C00,1024,27,4.111637844717646,0.0,0,254
4000,1024,38,4.234189947692133,0.0,0,174
4400,1024,56,3.8103479363000536,0.0,0,281
4800,1024,74,4.880832123105501,0.0,0,179
4C00,1024,79,4.9808905956865015,0.0,0,229
5000,1024,74,4.839953845209191,0.0,0,169
5400,1024,63,4.528457872100271,0.0,0,170
5800,1024,71,4.861584483338975,0.0,0,206
5C00,1024,41,4.344044181684205,0.0,0,219
6000,1024,38,4.213285981649161,0.0,0,179
6400,1024,38,4.20358483605252,0.0,0,246
6800,1024,29,3.9463520717511344,0.0,0,183
6C00,1024,15,3.3781814775324897,0.0,0,253
7000,1024,27,3.9763610857273397,0.0,0,219
7400,1024,22,3.721471451077284,0.0,0,142
7800,1024,31,4.0721429503640145,0.0,0,217
7C00,1024,25,3.713344473938599,0.0,0,178
8000,0,1,-0.0,100.0,512,512
8400,0,1,-0.0,100.0,512,512
8800,703,78,3.5609980307967595,31.34765625,102,378
8C00,467,70,2.9221048707436528,54.39453125,253,429
9000,825,101,3.335836379608454,19.43359375,0,399
9400,816,86,3.180323597614253,20.3125,0,408
9800,96,6,0.5371478407525626,90.625,432,493
9C00,0,1,-0.0,100.0,512,512
A000,383,80,3.01225194421788,62.59765625,138,511
A400,267,47,2.1772350471793858,73.92578125,258,510
A800,0,1,-0.0,100.0,512,512
AC00,0,1,-0.0,100.0,512,512
B000,0,1,-0.0,100.0,512,512
B400,0,1,-0.0,100.0,512,512
B800,0,1,-0.0,100.0,512,512
BC00,0,1,-0.0,100.0,512,512
C000,620,136,4.8373761202970105,39.453125,177,415
C400,750,132,5.5587371898217,26.7578125,116,374
C800,741,98,5.089447065726182,27.63671875,109,389
CC00,743,101,5.1099060858329395,27.44140625,111,378
D000,432,83,3.4685042837506956,57.8125,284,432
D400,369,54,2.664710368517915,63.96484375,258,476
D800,212,55,1.8376254071442992,79.296875,386,487
DC00,0,1,-0.0,100.0,512,512
E000,0,1,-0.0,100.0,512,512
E400,0,1,-0.0,100.0,512,512
E800,0,1,-0.0,100.0,512,512
EC00,0,1,-0.0,100.0,512,512
F000,1024,2,1.0,0.0,0,512
F400,1024,2,1.0,0.0,0,512
F800,682,12,2.178805320855755,33.3984375,0,512
FC00,1024,2,1.0,0.0,0,512
